author,likeCount,text,videoId
@rimjhimgharu1044,0,This deserves way more views. Absolutely underrated,RKZPMyAvEXs
@PrashantNarawde-w6l,0,Came for the thumbnail  stayed for the vibes,RKZPMyAvEXs
@MateoRobinson-k8y,0,That part at 2:45 Instant goosebumps,RKZPMyAvEXs
@snowflake.magdal,2,I almost cried at the end ☹️,NNrTRHFPar8
@RandyPeraza-o7s,1,We need my boy ein🗣🔥,NNrTRHFPar8
@carmilajoyceg.gaudicos2505,1,ME ❤❤❤❤,NNrTRHFPar8
@Lillerbean,1,I SAW YOU IN THE MINECRAFT MOVIE APHMAU,NNrTRHFPar8
@OliviaLauren-90,1,Bro the ending almost made me cry because of Aaron's greatest sacrifice to save his friends😢😢,NNrTRHFPar8
@KASlayaBeter,1,Not an Allstate add after Jason says “what the hell”,NNrTRHFPar8
@JasmineMurf,1,Omg YAY! 0:01,NNrTRHFPar8
@Slushee1234,1,Potty mouth Aaron,NNrTRHFPar8
@cutekitty_lover,0,YAYAYAYAYA,NNrTRHFPar8
@Preppy_girl_17,0,10:39 guys I think there’s something wrong with Zane,NNrTRHFPar8
@H.A.T.S.U.N.E_M.I.K.U,0,KC IS ALIVE?!,NNrTRHFPar8
@jaisdonoliveros1215,0,RIP Aaron the saver😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,NNrTRHFPar8
@vivianraymundo-o3x,0,i wish aphmau will find her best friend kc,NNrTRHFPar8
@michohdz17,0,aaron diad only 3 peole and it was so sad  i feel bad for aphmau because aaron sacrificed himself also i love ep.4,NNrTRHFPar8
@Charliz_Cervantes,0,Im crying because aaron sacrifice himself😭😭😭,NNrTRHFPar8
@TinyDefiant,0,I NEED MORE APHMAU PLSSS,NNrTRHFPar8
@drizztarendain1524,0,Episode 5!!!!!!PLZ!!!!!!!!!!!!,NNrTRHFPar8
@khud911,0,i am sad because i just lost my house in minecraft but if you find that message i have hope to find my house in minecraft also there is loot in a chest😔🥴🤗,NNrTRHFPar8
@CzeslawaSMoon,0,Noooo aaronnn 😭😭😭😭😭,NNrTRHFPar8
@AnettGranados,0,Why did you get hit by a train 🚃,NNrTRHFPar8
@MrBeastGaming,18957,I remembered the password for the account lol,2C6omXxIcyE
@blizzardstormer5076,5,YAY GAMING IS BACK!! Do more challenges or do a series where you all are playing and completing Minecraft,2C6omXxIcyE
@perlavillanueva-nx2tj,1,Hopefully the one's who lost still got a reward for putting alot of effort to there builds.,2C6omXxIcyE
@Hiesmen.372,1,So Batman returns…,2C6omXxIcyE
@Kingzed14,1,What about reacts,2C6omXxIcyE
@majidchboukmoreno9474,1,Aaaaaaaaaaaaaaaaaaaaaaaaaaaaa 9:53,2C6omXxIcyE
@EzioPayan,0,finaly a video,2C6omXxIcyE
@Ava-m3d,0,Chandlers beard 😢,2C6omXxIcyE
@RajeshTubmad,0,Who else is here before this blows up,2C6omXxIcyE
@MaskNality,0,The Nostalgia 😢,2C6omXxIcyE
@Hordehippy,0,Love the video but I wish it was a little slower 30 mins maybe? Felt a little rushed. Still awesome though. Glad gaming is back!,2C6omXxIcyE
